V,T
49.3400,3.1700
49.3400,3.1730
49.3400,3.1750
49.3400,3.1670
49.3400,3.1710
49.3500,3.1780
49.3500,3.1780
49.3500,3.1730
49.3500,3.1670
49.3500,3.1650
49.3500,3.1730
49.3500,3.1710
49.3500,3.1680
49.3500,3.1730
49.3500,3.1700
49.3500,3.1720
49.3500,3.1680
49.3500,3.1640
49.3500,3.1620
49.3600,3.1620
49.3600,3.1730
49.3600,3.1760
49.3600,3.1790
49.3600,3.1790
49.3600,3.1810
49.3600,3.1860
49.3600,3.1760
49.3600,3.1780
49.3600,3.1680
49.3600,3.1620
49.3600,3.1640
49.3600,3.1660
49.3600,3.1680
49.3600,3.1770
49.3600,3.1750
49.3600,3.1750
49.3600,3.1750
49.3600,3.1700
49.3600,3.1730
49.3600,3.1770
49.3600,3.1750
49.3600,3.1780
49.3600,3.1780
49.3600,3.1750
49.3600,3.1700
49.3600,3.1660
49.3600,3.1620
49.3600,3.1670
49.3600,3.1750
49.3600,3.1680
49.3600,3.1640
49.3600,3.1720
49.3600,3.1720
49.3600,3.1710
49.3700,3.1730
49.3700,3.1710
49.3600,3.1680
49.3600,3.1710
49.3600,3.1700
49.3600,3.1750
49.3600,3.1730
49.3600,3.1770
49.3600,3.1720
49.3600,3.1730
49.3600,3.1720
49.3600,3.1780
49.3600,3.1760
49.3600,3.1700
49.3600,3.1700
49.3600,3.1720
49.3600,3.1730
49.3600,3.1670
49.3600,3.1640
49.3600,3.1610
49.3600,3.1600
49.3600,3.1610
49.3600,3.1590
49.3600,3.1640
49.3600,3.1620
49.3600,3.1770
49.3600,3.1770
49.3600,3.1770
49.3600,3.1720
49.3600,3.1760
49.3600,3.1680
49.3600,3.1640
49.3600,3.1680
49.3500,3.1720
49.3500,3.1680
49.3600,3.1680
49.3500,3.1730
49.3500,3.1780
49.3500,3.1700
49.3500,3.1610
49.3500,3.1650
49.3500,3.1770
49.3500,3.1780
49.3500,3.1780
49.3500,3.1750
49.3500,3.1790
49.3500,3.1730
49.3500,3.1660
49.3500,3.1730
49.3500,3.1720
49.3400,3.1700
49.3500,3.1680
49.3400,3.1720
49.3400,3.1770
49.3400,3.1770
49.3400,3.1790
49.3400,3.1820
49.3400,3.1760
49.3400,3.1730
49.3400,3.1780
49.3400,3.1780
49.3400,3.1830
49.3400,3.1790
49.3300,3.1820
49.3300,3.1830
49.3300,3.1840
49.3400,3.1930
49.3300,3.1900
49.3300,3.1860
49.3400,3.1880
49.3300,3.1880
49.3300,3.1870
49.3300,3.1790
49.3300,3.1760
49.3300,3.1830
49.3300,3.1820
49.3300,3.1840
49.3200,3.1880
49.3200,3.1860
49.3200,3.1900
49.3200,3.1920
49.3200,3.1900
49.3200,3.1900
49.3200,3.1900
49.3200,3.1860
49.3200,3.1890
49.3100,3.1870
49.3100,3.1870
49.3100,3.1880
49.3100,3.1840
49.3100,3.1810
49.3100,3.1790
49.3100,3.1770
49.3100,3.1810
49.3100,3.1790
49.3100,3.1820
49.3100,3.1890
49.3100,3.1880
49.3100,3.1880
49.3100,3.1930
49.3000,3.1970
49.3000,3.1930
49.3000,3.1940
49.3000,3.1950
49.3000,3.1940
49.2900,3.1870
49.2900,3.1840
49.2900,3.1860
49.3000,3.1900
49.2900,3.1890
49.2900,3.1930
49.2900,3.1890
49.2900,3.1840
49.2900,3.1830
49.2900,3.1810
49.2900,3.1890
49.2800,3.1970
49.2900,3.1990
49.2800,3.1980
49.2800,3.1940
49.2800,3.1940
49.2800,3.1980
49.2700,3.1970
49.2800,3.1940
49.2700,3.1970
49.2700,3.1950
49.2700,3.1870
49.2700,3.1770
49.2700,3.1790
49.2600,3.1830
49.2700,3.1790
49.2700,3.1860
49.2600,3.1880
49.2600,3.1890
49.2600,3.1870
49.2600,3.1870
49.2600,3.1940
49.2600,3.1940
49.2600,3.2010
49.2600,3.1970
49.2500,3.1950
49.2500,3.1970
49.2600,3.1920
49.2600,3.1900
49.2500,3.1930
49.2500,3.1870
49.2500,3.1880
49.2400,3.1880
49.2500,3.1900
49.2500,3.1930
49.2400,3.1990
49.2400,3.1900
49.2400,3.1860
49.2400,3.1890
49.2300,3.1860
49.2400,3.1840
49.2400,3.1810
49.2300,3.1840
49.2300,3.1900
49.2300,3.1890
49.2300,3.1900
49.2300,3.1900
49.2300,3.1930
49.2200,3.1980
49.2200,3.2030
49.2200,3.2060
49.2200,3.2050
49.2200,3.2040
49.2200,3.1990
49.2100,3.1930
49.2100,3.1940
49.2100,3.1950
49.2100,3.2000
49.2100,3.2050
49.2100,3.2040
49.2100,3.2030
49.2100,3.2050
49.2000,3.2060
49.2000,3.2080
49.2000,3.2120
49.2000,3.2090
49.1900,3.2060
49.2000,3.1990
49.2000,3.1990
49.1900,3.1940
49.1900,3.1930
49.1900,3.1970
49.1900,3.2010
49.1900,3.1980
49.1900,3.2030
49.1800,3.1990
49.1800,3.1950
49.1800,3.1930
49.1800,3.1920
49.1800,3.1900
49.1800,3.1880
49.1700,3.1870
49.1800,3.1870
49.1800,3.1870
49.1700,3.1870
49.1700,3.1870
49.1600,3.1870
49.1700,3.1900
49.1600,3.1950
49.1600,3.1890
49.1600,3.1940
49.1600,3.1970
49.1600,3.1950
49.1600,3.1990
49.1500,3.2010
49.1500,3.2010
49.1500,3.2000
49.1500,3.1990
49.1500,3.2000
49.1500,3.1990
49.1500,3.2030
49.1400,3.1980
49.1400,3.1990
49.1400,3.2040
49.1400,3.2000
49.1400,3.2000
49.1400,3.2000
49.1300,3.2030
49.1300,3.2030
49.1300,3.1990
49.1300,3.2000
49.1300,3.2000
49.1300,3.1990
49.1300,3.2040
49.1200,3.1990
49.1200,3.1980
49.1200,3.1990
49.1200,3.2010
49.1200,3.2010
49.1200,3.1990
49.1100,3.1980
49.1100,3.1950
49.1100,3.1980
49.1100,3.2010
49.1100,3.2010
49.1100,3.2010
49.1100,3.1990
49.1000,3.2010
49.1000,3.2030
49.1000,3.2030
49.1000,3.2040
49.1000,3.2100
49.1000,3.2060
49.0900,3.2080
49.0900,3.2090
49.0900,3.2090
49.0900,3.2050
49.0900,3.2050
49.0900,3.2040
49.0800,3.2040
49.0800,3.2030
49.0800,3.2040
49.0800,3.2060
49.0800,3.2050
49.0800,3.2080
49.0700,3.2090
49.0800,3.2050
49.0700,3.2050
49.0700,3.2090
49.0600,3.2080
49.0600,3.2050
49.0600,3.2060
49.0600,3.2120
49.0600,3.2110
49.0600,3.2060
49.0600,3.2030
49.0500,3.1990
49.0500,3.2030
49.0500,3.2030
49.0500,3.2050
49.0500,3.2060
49.0400,3.2080
49.0400,3.2120
49.0400,3.2120
49.0400,3.2080
49.0400,3.2090
49.0400,3.2090
49.0400,3.2040
49.0300,3.2040
49.0300,3.2030
49.0300,3.2040
49.0300,3.2040
49.0300,3.2060
49.0300,3.2040
49.0200,3.2060
49.0200,3.2080
49.0200,3.2050
49.0200,3.2080
49.0200,3.2100
49.0200,3.2110
49.0200,3.2100
49.0100,3.2080
49.0100,3.2080
49.0100,3.2040
49.0100,3.2060
49.0100,3.2080
49.0100,3.2080
49.0100,3.2120
49.0000,3.2110
49.0000,3.2100
49.0000,3.2100
49.0000,3.2080
49.0000,3.2080
48.9900,3.2090
48.9900,3.2040
48.9900,3.2060
48.9900,3.2080
48.9900,3.2090
48.9900,3.2120
48.9800,3.2140
48.9800,3.2160
48.9800,3.2110
48.9800,3.2090
48.9800,3.2080
48.9800,3.2080
