Temperature,Voltage
47.5000,3.7200
47.5400,3.7200
47.5900,3.7200
47.6300,3.7200
47.6800,3.7200
47.7300,3.7200
47.7700,3.7200
47.8200,3.7200
47.8600,3.7200
47.9000,3.7200
47.9500,3.7200
48.0000,3.7200
48.0400,3.7200
48.0800,3.7200
48.1300,3.7200
48.1700,3.7200
48.2200,3.7200
48.2500,3.7200
48.3000,3.7200
48.3400,3.7200
48.3900,3.7200
48.4300,3.7200
48.4700,3.7200
48.5100,3.7200
48.5600,3.7200
48.6000,3.7200
48.6400,3.7200
48.6900,3.7200
48.7300,3.7200
48.7800,3.7200
48.8200,3.7200
48.8600,3.7200
48.9000,3.7200
48.9400,3.7200
48.9800,3.7200
49.0200,3.7200
49.0600,3.7200
49.0900,3.7200
49.1200,3.7200
49.1500,3.7200
49.1700,3.7200
49.2000,3.7200
49.2200,3.7200
49.2400,3.7200
49.2600,3.7200
49.2700,3.7200
49.2900,3.7200
49.3000,3.7200
49.3100,3.7200
49.3100,3.7200
49.3200,3.7200
49.3200,3.7200
49.3300,3.7200
49.3300,3.7200
49.4500,3.7200
49.3800,3.7200
49.3100,3.7200
49.3100,3.7200
49.3100,3.7200
49.3000,3.7200
49.2900,3.7200
49.2800,3.7200
49.2700,3.7200
49.2700,3.7200
49.2600,3.7200
49.2500,3.7200
49.2400,3.7200
49.2300,3.7200
49.2100,3.7200
49.2000,3.7200
49.1900,3.7200
49.1800,3.7200
49.1600,3.7200
49.1500,3.7200
49.1400,3.7200
49.1200,3.7200
49.1100,3.7200
49.1000,3.7200
49.0800,3.7200
49.0600,3.7200
49.0500,3.7200
49.0100,3.7200
49.0000,3.7200
48.9900,3.7200
48.9600,3.7200
48.9500,3.7200
48.9200,3.7200
48.9100,3.7200
48.8900,3.7200
48.8800,3.7200
48.8600,3.7200
48.8400,3.7200
48.8300,3.7200
48.8100,3.7200
48.7900,3.7200
48.7800,3.7200
48.7600,3.7200
48.7500,3.7200
48.7400,3.7200
48.7200,3.7200
48.7100,3.7200
48.6900,3.7200
48.6800,3.7200
48.6700,3.7200
48.6500,3.7200
48.6400,3.7200
48.6300,3.7200
48.6100,3.7200
48.6000,3.7200
48.5900,3.7200
48.5700,3.7200
48.5600,3.7200
48.5500,3.7200
48.5300,3.7200
48.5200,3.7200
48.5100,3.7200
48.4900,3.7200
48.4800,3.7200
48.4700,3.7200
48.4600,3.7200
48.4400,3.7200
48.4300,3.7200
48.4200,3.7200
48.4100,3.7200
48.4000,3.7200
48.3900,3.7200
48.3800,3.7200
48.3700,3.7200
48.3500,3.7200
48.3400,3.7200
48.3300,3.7200
48.3200,3.7200
48.3000,3.7200
48.2900,3.7200
48.2800,3.7200
48.2700,3.7200
48.2600,3.7200
48.2400,3.7200
48.2300,3.7200
48.2200,3.7200
48.2100,3.7200
48.2000,3.7200
48.1900,3.7200
48.1800,3.7200
48.1700,3.7200
48.1600,3.7200
48.1500,3.7200
48.1400,3.7200
48.1300,3.7200
48.1100,3.7200
48.1000,3.7200
48.1000,3.7200
48.0900,3.7200
48.0800,3.7200
48.0700,3.7200
48.0600,3.7200
48.0500,3.7200
48.0400,3.7200
48.0300,3.7200
48.0300,3.7200
48.0200,3.7200
48.0000,3.7200
48.0000,3.7200
47.9900,3.7200
47.9800,3.7200
47.9700,3.7200
47.9600,3.7200
47.9500,3.7200
47.9400,3.7200
47.9300,3.7200
47.9200,3.7200
47.9100,3.7200
47.9000,3.7200
47.8900,3.7200
47.8800,3.7200
47.8700,3.7200
47.8700,3.7200
47.8500,3.7200
47.8400,3.7200
47.8400,3.7200
47.8300,3.7200
47.8200,3.7200
47.8100,3.7200
47.8000,3.7200
47.7900,3.7200
47.7900,3.7200
47.7700,3.7200
47.7800,3.7200
47.7600,3.7200
47.7400,3.7200
47.7400,3.7200
47.7300,3.7200
47.7200,3.7200
47.7100,3.7200
47.7000,3.7200
47.7000,3.7200
47.6800,3.7200
47.6800,3.7200
47.6700,3.7200
47.6600,3.7200
47.6500,3.7200
47.6500,3.7200
47.6400,3.7200
47.6400,3.7200
47.6200,3.7200
47.6200,3.7200
47.6100,3.7200
47.6000,3.7200
47.6000,3.7200
47.5900,3.7200
47.5800,3.7200
47.5700,3.7200
47.5600,3.7200
47.5500,3.7200
47.5500,3.7200
47.5400,3.7200
47.5300,3.7200
47.5200,3.7200
47.5200,3.7200
47.5000,3.7200
47.5000,3.7200
47.4900,3.7200
47.4900,3.7200
47.4700,3.7200
47.4700,3.7200
47.4600,3.7200
47.4500,3.7200
47.4400,3.7200
47.4400,3.7200
47.4300,3.7200
47.4200,3.7200
47.4100,3.7200
47.4000,3.7200
47.4000,3.7200
47.3900,3.7200
47.3800,3.7200
47.3700,3.7200
47.3700,3.7200
47.3600,3.7200
47.3600,3.7200
47.3500,3.7200
47.3400,3.7200
47.3400,3.7200
47.3300,3.7200
47.3200,3.7200
47.3100,3.7200
47.3100,3.7200
47.3000,3.7200
47.2900,3.7200
47.2900,3.7200
47.2800,3.7200
47.2700,3.7200
47.2700,3.7200
47.2600,3.7200
47.2500,3.7200
47.2500,3.7200
47.2400,3.7200
47.2300,3.7200
47.2200,3.7200
47.2200,3.7200
47.2100,3.7200
47.2100,3.7200
47.2000,3.7200
47.1900,3.7200
47.1800,3.7200
47.1800,3.7200
47.1700,3.7200
47.1600,3.7200
47.1500,3.7200
47.1500,3.7200
47.1400,3.7200
47.1300,3.7200
47.1300,3.7200
47.1200,3.7200
47.1100,3.7200
47.1000,3.7200
47.1000,3.7200
47.0900,3.7200
47.1000,3.7200
47.0700,3.7200
47.0600,3.7200
47.0600,3.7200
47.0500,3.7200
47.0400,3.7200
47.0300,3.7200
47.0200,3.7200
47.0200,3.7200
47.0200,3.7200
47.0100,3.7200
47.0000,3.7200
46.9900,3.7200
46.9900,3.7200
46.9900,3.7200
46.9800,3.7200
46.9700,3.7200
46.9600,3.7200
46.9500,3.7200
46.9500,3.7200
46.9400,3.7200
46.9400,3.7200
46.9300,3.7200
46.9200,3.7200
46.9100,3.7200
46.9100,3.7200
46.9000,3.7200
46.8900,3.7200
46.8800,3.7200
46.8800,3.7200
46.8700,3.7200
46.8600,3.7200
46.8500,3.7200
46.8500,3.7200
46.8400,3.7200
46.8300,3.7200
46.8200,3.7200
46.8200,3.7200
46.8100,3.7200
46.8000,3.7200
46.7900,3.7200
46.7900,3.7200
46.7800,3.7200
46.7700,3.7200
46.7600,3.7200
46.7600,3.7200
46.7500,3.7200
46.7500,3.7200
46.7400,3.7200
46.7300,3.7200
46.7300,3.7200
46.7200,3.7200
46.7100,3.7200
46.7100,3.7200
46.7000,3.7200
46.7000,3.7200
46.6900,3.7200
46.6800,3.7200
46.6800,3.7200
46.6700,3.7200
46.6700,3.7200
46.6600,3.7200
46.6500,3.7200
46.6500,3.7200
46.6400,3.7200
46.6400,3.7200
46.6300,3.7200
46.6200,3.7200
46.6200,3.7200
46.6100,3.7200
46.6000,3.7200
46.6000,3.7200
46.5900,3.7200
46.5900,3.7200
46.5800,3.7200
46.5800,3.7200
46.5700,3.7200
46.5600,3.7200
46.5600,3.7200
46.5500,3.7200
46.5400,3.7200
46.5400,3.7200
46.5300,3.7200
46.5300,3.7200
46.5200,3.7200
46.5200,3.7200
46.5000,3.7200
46.5000,3.7200
46.4900,3.7200
46.4900,3.7200
46.4800,3.7200
46.4700,3.7200
46.4600,3.7200
46.4600,3.7200
46.4500,3.7200
46.4400,3.7200
46.4400,3.7200
46.4300,3.7200
46.4300,3.7200
46.4200,3.7200
46.4200,3.7200
46.4100,3.7200
46.4000,3.7200
46.4000,3.7200
46.3900,3.7200
46.3800,3.7200
46.3800,3.7200
46.3700,3.7200
46.3700,3.7200
46.3600,3.7200
46.3500,3.7200
46.3500,3.7200
46.3400,3.7200
46.3400,3.7200
46.3300,3.7200
46.3200,3.7200
46.3200,3.7200
46.3200,3.7200
46.3100,3.7200
46.2900,3.7200
46.2900,3.7200
46.2900,3.7200
46.2800,3.7200
46.2700,3.7200
46.2600,3.7200
46.2500,3.7200
46.2500,3.7200
46.2400,3.7200
46.2400,3.7200
46.2300,3.7200
46.2200,3.7200
46.2100,3.7200
46.2100,3.7200
46.2000,3.7200
46.1900,3.7200
46.1900,3.7200
46.1800,3.7200
46.1800,3.7200
46.1700,3.7200
46.1700,3.7200
46.1600,3.7200
46.1500,3.7200
46.1500,3.7200
46.1400,3.7200
46.1400,3.7200
46.1300,3.7200
46.1200,3.7200
46.1100,3.7200
46.1100,3.7200
46.1000,3.7200
46.1000,3.7200
46.0900,3.7200
46.0900,3.7200
46.0800,3.7200
46.0800,3.7200
46.0700,3.7200
46.0600,3.7200
46.0600,3.7200
46.0500,3.7200
46.0500,3.7200
46.0400,3.7200
46.0300,3.7200
46.0200,3.7200
46.0100,3.7200
46.0000,3.7200
45.9900,3.7200
45.9900,3.7200
45.9900,3.7200
45.9800,3.7200
45.9700,3.7200
45.9700,3.7200
45.9600,3.7200
45.9500,3.7200
45.9500,3.7200
45.9400,3.7200
45.9300,3.7200
45.9300,3.7200
45.9200,3.7200
45.9100,3.7200
45.9100,3.7200
45.9000,3.7200
45.8900,3.7200
45.8900,3.7200
45.8800,3.7200
45.8800,3.7200
45.8700,3.7200
45.8600,3.7200
45.8600,3.7200
45.8500,3.7200
45.8400,3.7200
45.8400,3.7200
45.8300,3.7200
45.8200,3.7200
45.8100,3.7200
45.8100,3.7190
45.7900,3.7200
45.7900,3.7200
45.7800,3.7200
45.7700,3.7200
45.7700,3.7200
45.7700,3.7200
45.7600,3.7200
45.7500,3.7200
45.7400,3.7200
45.7400,3.7200
45.7300,3.7200
45.7200,3.7200
45.7100,3.7190
45.7100,3.7200
45.7000,3.7200
45.6900,3.7200
45.6800,3.7200
45.6800,3.7190
45.6700,3.7190
45.6600,3.7200
45.6500,3.7200
45.6400,3.7200
45.6300,3.7200
45.6300,3.7200
45.6200,3.7200
45.6100,3.7200
45.6100,3.7200
45.6000,3.7200
45.6000,3.7200
45.5900,3.7200
45.5800,3.7190
45.5800,3.7200
45.5700,3.7200
45.5600,3.7200
45.5600,3.7200
45.5500,3.7200
45.5400,3.7200
45.5300,3.7190
