time, axial_temperature (degree celsius), surface_temperature (degree celsius)
501.0000,24.9600,60.5500
502.0000,25.0200,60.7100
503.0000,25.1200,60.8800
504.0000,25.1900,60.8500
505.0000,25.2900,60.3200
506.0000,25.3500,60.3200
507.0000,25.4500,60.5800
508.0000,25.5200,60.7800
509.0000,25.6200,60.9800
510.0000,25.6800,60.7500
511.0000,25.7800,60.5100
512.0000,25.8800,60.4800
513.0000,25.9800,60.4800
514.0000,26.0800,60.5100
515.0000,26.1500,60.5100
516.0000,26.0100,59.9800
517.0000,26.4100,60.3800
518.0000,26.5100,60.3800
519.0000,26.6100,60.8500
520.0000,26.6800,60.7800
521.0000,26.8400,60.7500
522.0000,27.0100,60.7500
523.0000,27.1700,60.8100
524.0000,27.3000,60.7500
525.0000,27.5700,60.5800
526.0000,27.6300,60.6500
527.0000,27.7300,60.8500
528.0000,27.9000,59.4900
529.0000,28.0300,56.2100
530.0000,27.9600,53.8500
531.0000,28.0600,23.3300
532.0000,27.9300,5.3100
533.0000,28.1000,3.8100
534.0000,28.1600,1.9300
535.0000,28.2900,3.4800
536.0000,28.5300,3.9800
537.0000,28.7600,4.4400
538.0000,28.8900,4.2800
539.0000,28.9600,4.7100
540.0000,29.1500,5.0400
541.0000,29.3500,4.4400
542.0000,29.4500,4.3100
543.0000,29.6200,3.7800
544.0000,29.7500,3.0500
545.0000,29.8500,2.0900
546.0000,29.9800,1.1000
547.0000,30.1800,0.3700
548.0000,30.3400,0.2700
549.0000,30.5400,0.5000
550.0000,30.6400,0.8600
551.0000,30.8100,0.6700
552.0000,30.9000,0.2700
553.0000,31.0400,0.5000
554.0000,31.2400,0.5300
555.0000,31.3700,1.0000
556.0000,31.5300,0.5000
557.0000,31.7000,0.3300
558.0000,31.8300,0.4000
559.0000,32.0000,0.2400
560.0000,32.1300,0.1700
561.0000,32.2900,0.4300
562.0000,32.4900,0.6300
563.0000,32.5900,0.2700
564.0000,32.6600,0.1000
565.0000,32.8200,0.0700
566.0000,32.9200,0.2400
567.0000,33.1500,-0.1000
568.0000,33.1800,0.0400
569.0000,33.2500,0.1700
570.0000,33.3800,0.5000
571.0000,33.5100,0.6700
572.0000,33.6100,0.2400
573.0000,33.7100,0.3000
574.0000,33.8100,0.2000
575.0000,33.9100,-0.0300
576.0000,33.9800,-0.0300
577.0000,34.1100,-0.1300
578.0000,34.1100,0.0000
579.0000,34.0800,-0.0300
580.0000,34.1800,0.0000
581.0000,34.2400,-0.0600
582.0000,34.2700,0.0400
583.0000,34.3100,0.0000
584.0000,34.4100,0.1700
585.0000,34.4700,-0.2600
586.0000,34.5100,-0.2600
587.0000,34.5100,-0.3000
588.0000,34.5100,-0.1300
589.0000,34.5700,-0.2300
590.0000,34.5400,-0.1600
591.0000,34.5400,-0.1600
592.0000,34.5100,-0.0300
593.0000,34.5700,-0.1000
594.0000,34.5400,-0.1300
595.0000,34.5100,0.0400
596.0000,34.5700,-0.0600
597.0000,34.5700,-0.1000
598.0000,34.5100,-0.2000
599.0000,34.5100,-0.2300
600.0000,34.4400,-0.3000
601.0000,34.3400,-0.2300
602.0000,34.3400,-0.2300
603.0000,34.3100,-0.0600
604.0000,34.2400,-0.2300
605.0000,34.1400,-0.2600
606.0000,34.1400,-0.2600
607.0000,34.0100,0.1400
608.0000,34.0400,-0.1600
609.0000,33.9400,-0.2000
610.0000,33.9100,-0.2300
611.0000,33.8500,-0.2300
612.0000,33.7500,-0.2000
613.0000,33.6800,-0.1600
614.0000,33.4500,-0.1600
615.0000,33.4800,-0.2300
616.0000,33.4500,-0.2000
617.0000,33.3500,-0.3300
618.0000,33.2500,-0.3600
619.0000,33.0500,-0.3900
620.0000,33.0500,-0.3600
621.0000,32.9500,-0.3900
622.0000,32.7900,-0.3300
623.0000,32.7500,-0.3900
624.0000,32.5900,-0.2600
625.0000,32.5200,-0.3600
626.0000,32.3600,-0.3600
627.0000,32.2300,-0.3900
628.0000,32.1600,-0.4300
629.0000,32.0300,-0.3300
630.0000,31.8600,-0.3600
631.0000,31.6600,-0.3000
632.0000,31.6000,-0.2300
633.0000,31.5300,-0.2600
634.0000,31.3700,-0.3300
635.0000,31.2400,-0.3000
636.0000,31.1700,-0.3000
637.0000,31.0000,-0.3300
638.0000,30.8700,-0.1300
639.0000,30.7100,0.3300
640.0000,30.5700,0.6000
641.0000,30.4400,1.0000
642.0000,30.2800,1.4600
643.0000,29.9800,12.9600
644.0000,30.5700,42.4500
645.0000,30.6400,49.3500
646.0000,30.4800,51.4700
647.0000,30.2400,50.6400
648.0000,30.0100,52.3300
649.0000,29.8100,53.9500
650.0000,29.8100,55.5100
651.0000,29.9800,56.3400
652.0000,29.6500,56.7700
653.0000,29.3800,56.3400
654.0000,29.1500,55.8100
655.0000,28.9900,55.1100
656.0000,28.8900,54.7500
657.0000,28.6600,53.8900
658.0000,28.4900,53.9900
659.0000,28.2900,54.7500
660.0000,28.1300,54.5800
661.0000,28.0000,55.1100
662.0000,27.8000,55.8800
663.0000,27.6300,55.5100
664.0000,27.4700,55.0800
665.0000,27.3400,55.3100
