time (s), axial_temperature (degree celsius), surface_temperature (degree celsius)
100.0000,5.9900,61.4400
101.0000,6.2200,61.4800
102.0000,6.4200,61.3400
103.0000,6.6200,61.1400
104.0000,6.8500,61.0400
105.0000,7.1200,61.0400
106.0000,7.3100,61.0100
107.0000,7.5500,61.4100
108.0000,7.7800,62.1100
109.0000,8.0100,62.0700
110.0000,8.2400,61.4400
111.0000,8.4400,61.3100
112.0000,8.6700,61.5100
113.0000,8.9000,61.6100
114.0000,9.1300,61.7100
115.0000,9.3600,61.6700
116.0000,9.5900,61.6100
117.0000,9.7900,61.4400
118.0000,10.3900,62.2400
119.0000,10.2200,61.4800
120.0000,10.4900,61.6700
121.0000,10.6500,61.8100
122.0000,11.0500,62.2400
123.0000,11.2800,62.1100
124.0000,11.5100,61.9100
125.0000,11.7400,61.9100
126.0000,12.0100,61.7700
127.0000,12.2400,61.4400
128.0000,12.4700,61.1400
129.0000,12.7000,61.0800
130.0000,12.9300,61.3400
131.0000,13.1300,61.6700
132.0000,13.3600,62.2000
133.0000,13.5900,62.4000
134.0000,13.8600,62.4000
135.0000,14.0900,62.2000
136.0000,14.3200,61.8700
137.0000,14.5500,61.4800
138.0000,14.7800,61.3800
139.0000,15.0100,61.5400
140.0000,15.2400,61.7700
141.0000,15.4700,61.9700
142.0000,15.7400,62.0400
143.0000,15.9400,62.0400
144.0000,16.1700,62.0100
145.0000,16.4000,61.8700
146.0000,16.6600,61.8400
147.0000,16.8600,61.7100
148.0000,17.0900,61.5800
149.0000,17.3300,61.3400
150.0000,17.5200,61.3800
151.0000,17.8200,61.5100
152.0000,18.0200,61.4400
153.0000,18.2500,61.2800
154.0000,18.4800,61.0400
155.0000,18.7100,60.9500
156.0000,18.9400,61.0100
157.0000,19.1800,61.1800
158.0000,19.3700,61.1800
159.0000,19.6000,61.3100
160.0000,19.8000,61.3400
161.0000,20.0700,61.4400
162.0000,20.2700,61.4800
163.0000,20.5000,61.4100
164.0000,20.7300,61.5100
165.0000,20.9300,61.5400
166.0000,21.1600,61.5100
167.0000,21.3900,61.5400
168.0000,21.5500,61.6400
169.0000,21.7900,61.7100
170.0000,21.9800,61.6100
171.0000,22.2200,61.5800
172.0000,22.4100,61.6100
173.0000,22.6400,61.5800
174.0000,22.8800,61.4800
175.0000,23.0700,61.2100
176.0000,23.3100,61.3100
177.0000,23.5000,61.5100
178.0000,23.7400,61.6100
179.0000,23.9300,61.4800
180.0000,24.1300,61.3400
181.0000,24.3300,61.3400
182.0000,24.5600,61.3400
183.0000,24.7600,61.2800
184.0000,24.9600,61.4800
185.0000,25.1900,61.6700
186.0000,25.3900,61.6700
187.0000,25.5500,61.6100
188.0000,25.7500,61.5800
189.0000,25.9500,61.5400
190.0000,26.1500,61.6700
191.0000,26.3500,61.5100
192.0000,26.5100,61.2100
193.0000,26.7100,60.8800
194.0000,26.9400,60.8500
195.0000,27.1400,60.9800
196.0000,27.3400,61.0400
197.0000,27.5300,61.0800
198.0000,27.7000,61.1100
199.0000,27.9000,61.2400
200.0000,28.1000,61.2400
201.0000,28.2600,61.1800
202.0000,28.4600,61.3400
203.0000,28.6600,61.5100
204.0000,28.8200,61.4400
205.0000,29.0200,61.2400
206.0000,29.2200,61.0400
207.0000,29.3800,61.0100
208.0000,29.5500,61.1100
209.0000,29.7200,61.3100
210.0000,29.8800,61.4400
211.0000,30.0500,61.5400
212.0000,30.2400,61.4800
213.0000,30.4100,61.2100
214.0000,30.5700,61.3100
215.0000,30.7400,61.6100
216.0000,30.9000,61.6700
217.0000,31.1000,61.4800
218.0000,31.2700,61.3100
219.0000,31.4300,61.3100
220.0000,31.6300,61.2400
221.0000,31.8000,61.3100
222.0000,31.9300,61.3800
223.0000,32.0900,61.4100
224.0000,32.2600,61.5100
225.0000,32.4600,61.7700
226.0000,32.6200,61.7700
227.0000,32.7500,61.7100
228.0000,32.9200,61.5400
229.0000,33.0900,61.7100
230.0000,33.2500,61.8400
231.0000,33.3800,61.7700
232.0000,33.5500,61.7100
233.0000,33.7100,61.7100
234.0000,33.8800,61.7700
235.0000,34.0400,61.8400
236.0000,34.1800,61.7700
237.0000,34.3100,61.5400
238.0000,34.4700,61.3100
239.0000,34.6100,61.1800
240.0000,34.7400,61.0400
241.0000,34.8700,60.9800
242.0000,35.0700,61.0800
243.0000,35.2300,61.2100
244.0000,35.3700,61.2800
245.0000,35.5300,61.1400
246.0000,35.6600,61.0100
247.0000,35.8300,60.9800
248.0000,35.9600,61.0100
249.0000,36.1300,61.0400
250.0000,36.2600,61.0400
251.0000,36.3900,60.9800
252.0000,36.5500,60.8100
253.0000,36.6900,60.7800
254.0000,36.8200,60.7500
255.0000,36.9500,60.7500
256.0000,37.0800,60.8100
257.0000,37.2500,61.0100
258.0000,37.3800,61.2100
259.0000,37.5100,61.3400
260.0000,37.6800,61.3400
261.0000,37.8100,61.3400
262.0000,37.9400,61.2800
263.0000,38.0700,61.1100
264.0000,38.1700,60.8500
265.0000,38.3100,60.7500
266.0000,38.4400,60.8100
267.0000,38.5400,60.7800
268.0000,38.6700,60.7500
269.0000,38.7700,60.8100
270.0000,38.9000,60.8500
271.0000,39.0300,60.8500
272.0000,39.1600,60.8800
273.0000,39.2600,60.9100
274.0000,39.4000,60.9100
275.0000,39.5300,60.9100
276.0000,39.6300,60.9500
277.0000,39.7600,61.0100
278.0000,39.8900,61.0800
279.0000,39.9900,61.1100
280.0000,40.1200,61.0800
281.0000,40.2200,61.0400
282.0000,40.3500,61.0100
283.0000,40.4500,60.9100
284.0000,40.5900,60.8800
285.0000,40.6800,60.9500
286.0000,40.7800,60.9800
287.0000,40.9200,60.9100
288.0000,41.0200,60.9500
289.0000,41.1100,61.1400
290.0000,41.2500,61.2800
291.0000,41.3500,61.1800
292.0000,41.4400,60.9800
293.0000,41.5800,61.0400
294.0000,41.6800,61.1400
295.0000,41.7700,61.1100
296.0000,41.9100,61.0100
297.0000,42.0100,60.9100
298.0000,42.1100,61.1400
299.0000,42.2000,61.2100
300.0000,42.3000,61.0800
301.0000,42.4000,61.0400
302.0000,42.5000,60.9500
303.0000,42.5700,60.8800
304.0000,42.6300,60.7800
305.0000,42.7700,60.8100
306.0000,42.9000,60.9100
307.0000,42.9600,60.8100
308.0000,43.0600,60.7800
309.0000,43.1600,60.6800
